node0 p01,node1 p01,node2 p01,node3 p01,node4 p01
807.1106713595879,506.24497235783593,196.43310610578501,274.63163783129676,271.5829788137529
440.2424854101272,351.0958138756656,102.58559320809213,139.17547465798708,223.6946533066107
577.9697921158029,287.1761492481506,105.4944251424002,44.31147423746355,479.752051943196
560.0682420044435,688.0278670637708,401.2284012328004,272.50946082367244,217.31813663004664
725.7485576715854,380.58526467734487,234.84001067322723,39.5046539889812,238.57123343228312
284.22697493247165,465.5850210163361,155.61886566402842,305.82293042425755,29.31251174626915
361.96410800209037,301.9834245966743,75.38238862249108,20.02033877291823,220.93140437467292
635.7202541688588,349.4257520295659,137.28523510661222,162.21171335047984,357.07336104412923
270.6367426891232,200.93429594912075,169.35901244769744,133.69400751545237,1.734803359674441
342.7438529676593,556.0299274567027,129.06494334829043,53.384062781759084,267.47337925838616
267.8091801352272,415.9090680920175,62.42868972926502,46.94272747609995,68.48746825619445
339.87015622690626,329.12114812088265,199.86366926402079,51.548977986138006,54.84188702547849
580.1592082805106,240.3933915475706,43.06391399123378,1.7442263514368126,196.37247950216508
329.17972535041133,328.4148980075028,152.2979249727642,266.81793673982463,138.7876062858126
451.16050031230986,390.07575414245525,200.24527639914072,3.7962792127422875,53.453505884515074
564.1457303315387,370.92685095510166,315.70744642547874,89.6421184381638,284.9214507731447
237.30289145689613,319.5933591884161,171.95312470466104,37.30366357664671,256.63430018414465
495.2236552111061,280.6338568422308,239.99974377180095,116.98876558477323,283.2211621804357
318.2834119955276,309.5738482072333,358.34823433708146,50.763808185471646,73.41776472954349
301.3456260626301,257.71726402337214,77.43999983704177,157.29623019704434,203.5069959801453
320.15198157690475,206.6523654629506,109.02565658880549,55.93969851182413,198.83180292271712
335.38688072934553,517.9147223522951,138.6213419459603,180.33743513248368,18.01162736026176
350.55277732267257,217.06312458673938,209.58835074418138,202.63836682035597,186.1432109623472
399.03042975504195,241.85692051735717,63.31010574580393,166.2448892079197,217.2662556833325
258.9433668118616,136.4529932239184,40.65928552554844,56.9842872148887,67.54869946973977
221.01086100323133,238.51942114531468,19.331914313632637,88.27274348578722,217.87031561562938
274.6591228357371,368.6626883962394,85.988749722146,2.2795629995935953,47.40017864783709
337.77327226607787,171.88230598903385,49.4379570789325,7.560915669424749,70.93706520708623
519.8698419988652,127.89460132956994,47.068602727220586,118.60482359548027,0.17842190318025516
510.1073635364946,398.57382410862397,99.67679343668478,234.1203069981558,158.2406398673717
147.8986360757819,188.65225868245318,0.8595903852770864,47.8989669025906,274.12621631809606
462.6149994186336,96.75832005106228,4.33839304520983,46.4218929444527,170.42326704364524
295.78696608952197,198.47680243442565,296.5643316266398,36.51933637506713,0.7306940360806777
266.0090039126136,417.58417650581896,40.002267561964985,143.18502631994218,84.71263203564075
249.5678733721224,244.61461066830663,1.0255618962208661,94.29752229738568,39.211550520049855
220.6799731067229,86.63242089440453,78.93167342638417,208.63704852760515,122.67033646007302
393.27130340255644,228.9937026780054,98.20472670487108,40.49992496727804,169.61657807434818
246.6997908766165,369.0064726585705,154.59923580055454,204.0654990794139,182.36046990360148
154.50565411090477,177.23976643512248,140.59677638553416,5.120647462541821,63.405842601833
195.25112023450504,211.44481976398322,102.06674048977743,10.761184263185338,202.39909944677333
288.2036568425157,162.1212131667085,29.987197204843785,49.34308263509603,59.55365421981418
184.54071347674122,384.84072843855785,126.7891368273083,23.80932374035388,126.37326705226653
288.7409736513398,315.09257433787207,46.515272352212946,131.24793501935594,167.99326983316928
297.81847072789054,246.71288443024392,50.76131593472346,111.80513926280385,115.83801428063248
442.5558908532082,79.94601295805192,19.972302751097068,10.432516571383072,66.42562910708459
196.62032743849684,281.26629223941296,173.98306481793088,34.28151831893403,202.9187214570664
219.91729458001453,116.6531824219177,80.66989781859445,57.922584454009225,167.40928968801452
235.2670830583233,76.49887772009966,261.21074793984656,142.28053105589194,190.85920868266388
234.78901859163082,149.12698658614727,83.935368090036,1.8831581601195013,182.99647166534044
369.8556849737559,73.39449613489887,12.550658645408193,190.75351269028482,0.25564885449753616
201.4751355140294,51.74884471266437,12.815766528913596,54.01562358656019,129.85864143026072
215.95224944432152,37.62487151628267,14.821219619453773,6.167149072067093,9.88362212108485
277.870507877191,110.38091336720669,9.003119752688825,10.463213834408398,17.771253676143843
421.9889763523564,101.40437799150057,1.7956772172544522,120.60769464950963,104.83275370189958
287.0994029752543,325.39966940048106,10.333866398672056,42.7328366289353,29.54098755825724
225.78849010788292,169.07817679457838,79.6557897476836,3.169022901864538,63.10547467604044
168.09963823179308,111.20867807241585,6.959254990585867,40.91431220964101,57.271030776133514
261.9616622433317,79.18879681982573,49.280565298073505,22.12321500077682,10.37537513492377
131.67812477875393,82.98716566040494,6.334933300490031,45.730148176675506,22.732059927390615
213.5313687961166,55.85488315983998,1.1270697420603002,9.313207537019526,56.21584518781885
162.12462287345573,330.05787355790375,85.76124189698086,82.05252146787471,0.36288333147025176
76.0024571458486,99.11620788656424,3.1052204886323977,18.193776406771846,163.97528519385207
160.91892865766206,155.31739050356066,172.9220889450957,31.108139120621754,55.60926693914522
165.92891451412117,35.31113641914234,9.831285021705199,57.13265057676677,117.91260828627163
101.72030939128878,140.7660632314151,15.051170632500193,82.0622131961349,17.783959366539772
238.49186485695543,64.07238187929364,1.6804550347087217,31.57526315915957,1.6594107399592473
114.96978871363147,208.14516687642953,13.769102636860547,1.7678453913071723,11.842900424558326
231.2927549812665,137.52941348876524,8.690314501985759,22.316300714625747,25.33612704925798
99.77553825820937,63.98882145464668,94.2241661220486,11.312161978775386,61.74426601811792
208.39276148071087,363.39825118051016,38.044538976781155,43.87811510463779,57.294796153127265
117.1546783341801,57.99991671737848,55.39128847161891,0.6599982271513671,18.070159827412102
79.07297580124106,168.2230569200303,14.343180410270085,5.997845921995148,87.78704917123228
178.00614058491325,100.75945618602915,17.524432613047097,42.10316491359548,0.34548643368808923
221.55382701312814,260.7297050835547,74.77174057481926,58.45775697474869,10.835989823980833
