node0 p05,node1 p05,node2 p05,node3 p05,node4 p05,node5 p05,node6 p05,node7 p05,node8 p05,node9 p05,node10 p05,node11 p05,node12 p05,node13 p05,node14 p05,node15 p05,node16 p05,node17 p05,node18 p05,node19 p05,node20 p05,node21 p05,node22 p05,node23 p05,node24 p05
6834.181279854775,3878.656749872055,5737.2466768581,6046.126681796354,6221.817783664634,5844.425305978009,5358.296168829467,5090.396585035277,3734.60990799047,4235.9668062231485,3105.231984763961,4510.498781681703,3545.2489359564875,3722.196474716639,1871.2992290730153,2393.694237229123,3049.6584459108058,2236.6634833211997,1620.9755292731431,1612.0124734891992,4738.561608787809,3721.451354791397,4573.5086186710705,2926.0648270210577,2051.783023176448
5540.038724836757,6608.808553424017,6502.115886649228,5091.569255174141,5276.50019834459,4613.468976630575,4350.024166668867,5792.644021646659,3940.9867061136083,3615.7251861040927,3653.3587873490046,2362.5894303042733,2959.433629555788,3205.2632916063603,2745.0739831031137,2301.8142784410825,3803.329433550636,3086.7553240613847,2764.8623744460224,1511.690131595026,4400.434920597745,4893.6390448722705,4605.972282350657,3623.452838681962,2591.8936712435902
6472.331301940548,5270.19197151841,5915.3248275771575,4387.9116889299885,5507.212754577908,4571.240570399621,6681.322455919521,4431.9584373192065,3484.6733416325137,4851.354431329825,3344.9861239892653,3053.8063338692705,4101.396224343038,3142.1173530320707,2843.949259673925,2460.4560936437792,3275.8707669147966,3079.575779921722,2501.3369177945888,2301.900842241288,3086.078750157973,4002.594628466416,4106.150813701667,4252.639376857079,1462.1090993476794
5829.02936320911,6373.266019439234,6308.896632811327,4892.113337047081,5927.816266922669,5280.206192075078,6177.588818196569,3711.8331834887167,5025.259967843126,4592.049230843097,3477.411752079396,2174.4199702795086,3814.829927278499,2195.931413600349,2811.629477049794,2296.1636428140737,3635.1937610348305,2447.7464064597275,2151.4970752974245,2077.049662704499,3753.9131884397316,4212.839242180974,4097.229389184832,2421.706570194116,2953.134981191303
5392.409600234324,6189.866810899628,6408.768116719829,4964.864051702357,5290.537238739038,3952.707632238858,4816.317237779452,3529.9730726087582,4702.595984990793,4476.209986193346,4289.574103571026,3323.278822528592,3515.385302532678,2681.067403932759,2346.9427197220225,1691.6358010691104,3201.689964843252,3067.7355930770495,2753.517908069173,2687.9318103946,1577.020030996479,3945.542790811735,4079.1224041753235,3956.5765266043413,2866.702374819035
5222.492809283324,6283.5246824824335,5903.842356631762,4938.937982442638,5408.999220339179,5370.483266450484,4633.363003532429,3476.249749316362,3724.497469400838,4779.646356263444,3189.7743061662404,2721.6112790570246,3612.8820265097993,2644.5317150326464,2835.0675056466157,2124.853963058314,3407.128307844357,1754.4563201168949,1711.1184238194662,1850.0455649526702,4218.646624382374,4457.131474566569,4444.713732876113,1936.1742748459922,2684.7607520590645
5719.408820036361,6368.296307285772,6420.550152939189,4478.330331122933,5487.589808206188,4676.599768811412,4745.22946676831,3671.3736804682785,3976.1995060877016,3222.5703887098994,2825.396631667783,2524.1198278384713,3279.5970466932113,2774.553112766911,2351.1789645183344,1788.1379269029667,2134.4687371866016,2968.696705842508,2678.3279002983395,1584.6038467096487,1673.613236224115,2512.4376746801167,3837.1151369558684,2156.7388904930735,2392.3847413769026
6128.960215168052,6161.364305224361,4806.572060800146,6062.635224598807,5033.462093374111,4348.591557432523,5517.514939706345,3195.5661299762287,4858.903348953765,3695.0859242062497,4655.617118472395,2234.044586916588,2964.5838317587777,3016.6893973369292,1710.560029032942,1615.2775783591246,3213.274688579804,2118.9746919524646,2153.3543324754273,1830.3518228798423,1482.4211303895547,4140.657608487845,3040.755004376057,1960.7497184585377,2514.436515882288
5749.037347539606,5964.778038143302,5446.058949784327,4936.941797191345,4286.375042877268,4236.247376742169,4706.098470531215,3946.400498365582,3976.3252181116795,3719.3683776636753,4510.302167481676,3126.7527330459993,3151.870388739119,2637.1167309416865,1443.347943676267,2021.1924798786526,3100.099613631182,2100.8480253421767,2392.041869330112,1609.0383423588646,1280.207340006496,3871.875435616908,3979.9042982152823,2830.877973332277,2907.2018612332868
6020.647528768904,5911.590245568517,6197.968224536313,5088.019016131576,4360.704591061012,5004.048190676288,3951.913103402224,3900.0394080074416,4173.5831465064975,4390.189143490466,2532.6965095613073,2898.0195521537416,2402.056211662877,2401.7063938387296,1933.3597463633664,1566.3869359465116,1939.9194900853179,2510.51662574102,1946.1945002406553,1464.6147026418523,3491.512481245945,3491.2144878585136,4081.2275269880442,2525.0276782584597,2856.000177368835
5394.288936896058,5564.981265084185,5619.283052229084,5235.1525388948485,5619.88147663954,4110.9170528692675,4079.883490191465,4156.70334610535,3876.81206588256,3509.498748527496,3149.9035574230843,3499.4613451443793,1670.9773744749236,2755.282578778326,1885.0667577418167,1382.082253919572,2691.6882990683757,2075.769429058743,1765.5661298297687,1039.1626736671433,2332.671060781905,3347.715999918602,3300.4832073811576,2318.612032952033,1376.0216480240038
5148.20600472265,5267.7601333543835,5782.511610274902,4880.604347977775,3897.342437011375,3742.687889367589,5599.108241780833,4882.899639658335,4045.084982359123,3687.562979842611,4008.523529433017,3511.7656607820427,2741.653461881582,2655.084776481545,2526.9780410356525,1690.3030518997969,2835.9789669142315,2136.437516476056,1779.461667187945,1175.418922772581,1420.7082627707996,2544.8254839551796,2486.4187541630413,2897.461375091302,1709.20662328173
5630.51862928755,5520.771583666181,6120.948368979486,5221.659332957039,5265.277549119796,4397.977081628646,4544.830153471127,4362.200661075947,4132.538488931167,3915.1253028814676,2473.578249875856,2208.461558947413,2687.961224754253,2566.370253060333,1918.1411170684628,959.7447717381282,2239.9145184773843,2563.376805162571,1687.733564208465,1200.487903322676,1239.7021894675822,3653.03879121134,3701.690687374769,1862.8440066631842,1332.2801445963164
3992.6169450773127,4680.236515256003,5035.98329338398,4230.32724096231,4089.046397000785,4338.133914646843,3719.5954089977636,3366.1258815541105,3299.8724275757427,3700.068767202013,4043.0859689882946,2792.979313746577,1515.4716178461351,2309.8935651045094,2467.8238215029287,780.3880190852648,1274.680009627143,2005.3266870349223,1650.1562548275406,866.9105482348623,3760.0645636753256,2706.967306643267,2884.5201137845365,3068.2397909047445,2681.243025488659
5464.522132208177,6369.571013242732,6070.6240857559305,4019.261121161489,5220.053899566762,4199.218982400866,3233.4746008351376,4794.37951607447,3337.4514669798195,2605.3534627711,3389.2344878475083,2964.23187657492,2870.0667608529766,2782.247602378243,1759.6303184092108,1494.3814607393758,3018.9670473737597,1984.842657465574,1845.3664327187887,654.4382645728164,879.7334068895638,1904.38654311679,3055.5527554651358,3125.4269793290273,1844.2161698343696
5309.399087903436,4731.28425552494,4388.237728556659,4348.823685092043,4610.034275371646,3628.797599084917,5321.206684002599,3738.0109465791816,3551.6555651973586,4150.15829699181,3977.1424522644897,2415.028510769799,3006.679258986413,2670.7694956993328,1387.773013924187,932.9692883560496,2038.8689091241054,1792.7233880816343,1468.6858938821965,872.7169627081485,1199.96398175547,2651.7881717267087,3419.1485351219303,1673.2541471229035,1907.215734422899
5818.187930953256,6000.934289033253,6053.083198153076,2936.3708144351767,4618.4701097682755,2682.5859390746077,5067.713399132654,3846.0117639338923,3901.6356883381686,3802.9746323443565,2927.783642721082,1627.9653809001986,2625.0819174717635,2541.6205542040693,1723.08014505143,872.6760903302683,2043.6762100849458,1265.1913331723117,1189.17351064625,1159.015480512926,3736.2013301637567,3102.7781777915034,3484.531551283528,2691.02625097955,2536.1918726600893
5216.888387854593,5181.287618039744,4557.3317197109045,4924.208425370169,4070.848439092034,4884.380138994134,4152.2270915408435,4519.955703469026,3156.6994093556928,3580.2477491372038,2114.092212820085,3102.827431728681,2483.063121918,1975.4741793484434,1452.608189783345,1354.4252038575423,2067.509519630932,2354.6111254473467,1514.6479527051836,750.3650716137805,688.6394781709888,3174.7684802149015,2774.660787574789,2215.712252319827,894.9750625311326
5652.976408085706,3638.751827939088,6031.529450927942,5104.39668795793,4884.794443981196,4081.4257196190847,3384.905452081371,3154.1947292249997,3840.8699580129733,3546.3259811265843,3371.9920658070146,1527.9802334594813,2524.3844266249966,2023.4901082052434,1196.7830303355995,825.3601384647745,2369.594387609354,1523.4281416371612,1735.2343683522643,521.7871617599151,598.3877773498954,2736.370451026727,3235.006093178073,3002.678151581141,1037.9233475266337
4619.991606296685,3607.722047892416,4593.475050430508,4826.5280470695425,4630.286527824759,4528.010283419479,4398.874169044709,2855.260191107205,3309.2672248322438,2712.2187121737998,1966.8524332535133,1805.2290966101095,2702.353765668444,1875.8997168043757,1833.3541426736444,1259.8780054661522,2247.453079973927,1992.3730658486095,1466.1916612325408,664.6068974013334,964.245263093391,2699.79469925114,2421.0909420588705,2184.6312908891077,1241.3942928298575
4698.206968954843,4566.370357681196,4036.0631082440714,4720.887579068206,4041.0590544973747,4865.842823120882,4783.645190841358,3553.2710669002963,3264.346300943008,2973.399489118516,2209.301058729648,3025.747385143169,2028.4722862490332,1657.0747142746432,700.3139826747124,666.1034850846463,2018.54651179674,1795.3892900058022,1660.0902225909176,876.8816668761423,742.5624718375603,2894.9102946447256,2959.5979804473004,2644.7874259182195,1933.62967305154
6055.712562965842,4447.094825282745,6093.575938723318,4177.830194966702,4831.356800783797,4043.201696818694,3227.0334787497322,3500.172324582126,2963.5242731537455,3639.440874576755,1662.1999125619345,1871.3257902190458,2337.464251735301,1762.604347253482,1306.0645635527535,1066.9430149443663,2342.0366077797144,1706.2080118408617,1306.1355862957512,487.4079286731903,604.8250964315725,3096.6545968201726,3007.714446979862,1569.660135410962,1046.9580888678545
5729.867615750215,3716.2690271647407,5607.661814134818,3178.0653815439277,4399.880124658411,2967.010305537995,4246.942645517142,4660.917872081896,2248.945041358936,3055.510197174107,1719.7521568186942,2948.2235985751586,2670.6643713434964,2044.3539508320794,1825.6560129917386,1102.3386345532733,2014.7405662477531,1363.856222289043,966.2357271827372,764.3324319811035,519.9362937774142,3085.5608264374887,2290.967298616829,2829.572682505462,1483.111806276187
5822.665440738985,5640.698420138221,4366.199741395006,4522.933420305914,3889.3484819241394,2799.1468397438107,4374.228279123004,3600.7580240221523,3917.4337112569588,2307.471143448158,2234.3036060846603,1740.8802199547458,2105.597318837289,1776.1019287105814,1268.0991963116396,638.2942102684178,1602.7937132234933,1576.9095210611981,1400.7453026759592,971.6321548503573,3229.4872149082225,2458.1215000663938,2904.4416804600214,2529.362628945617,1609.4000024648367
5445.120714759202,4669.164308484384,5375.215075914913,3938.2451990549507,4462.27829823955,4313.206511109946,5093.523766441663,3615.2392859961637,3181.224475693778,3527.8698362989944,2685.82983720642,2163.58615350052,1465.8696370684102,1366.3560637349458,997.1220104870137,1000.5478422120677,2136.097133083989,1690.5948106212045,851.3790173418435,558.6595415793796,1966.2516862556672,2980.1269903074112,2746.354687406114,2290.5993463815043,1301.062492356076
4957.435056028377,3590.1713960301545,4741.855804070168,3417.358320389322,3751.542021477001,4390.566064120798,4031.3187573382747,4455.881166767739,3124.8617828674182,3201.029891695085,2728.510156344726,2597.7105605053744,1914.5217181684343,1157.0272465152907,967.5720166567196,578.4421801936072,2065.039388999024,1224.913566857254,1145.7080280818248,757.2733758721098,664.5211451057274,2911.9296645105837,2416.2935843142586,2632.0022836277103,1172.8411698752448
5214.767229343797,5056.45113743503,5006.3223169946805,4104.387684026745,3691.387278747607,4116.6464195147455,4652.116918750151,3364.066634030321,3113.2274829043804,3139.547794326073,1788.6343991843496,2531.729517030765,1865.4552436279914,1787.831872553554,1614.2120676053792,1184.6084342123684,2137.4349820064504,1331.6878925573042,1257.9075425275025,501.7936799554981,662.6463116861736,2070.55596263623,2491.751429554411,1294.929631269532,1042.2980917202467
4345.498983050281,5497.374101128555,5216.834602625402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4463.589700645711,5097.126070239211,4332.543886910171,4601.221370160458,4517.163600759782,3557.4643638897483,3056.9397167730513,3441.5855294969915,2556.3737008751577,2906.8168004330696,2039.1237628266954,2136.790522662934,1047.7636634567923,1214.0444568518637,1071.2566199785451,835.0089340084995,1896.2366004460578,1387.8619519832225,1179.837622266881,641.720995573758,2880.8782848849946,2336.000951814829,1849.2852384202154,1669.2181473260885,1860.086865467244
4144.3575570103585,4686.944235218949,3433.621616598162,3885.039457734952,4067.5852084158328,2740.9239107943163,4380.316296287067,2961.895133510432,3298.6838365636377,2332.6670235016054,2117.7190067624883,2190.3549467439852,2249.1168478610175,1808.0316381421394,1484.068593414498,938.7054745765524,1547.4122203816216,879.8332541596277,1037.356509069666,241.64682878347122,882.0334756909914,2811.531430705529,1965.4732943327392,1319.7359655052253,1121.4919499678015
5116.453077322916,4761.752444406206,2990.8373057331505,4024.2460181360448,3371.8071150842643,4462.86580418842,2623.3630559210865,3359.237583013586,1956.4491715254658,2697.6718914884386,2641.8374625344386,1519.903506968414,1776.729831835447,1379.0233480781387,896.5669474849569,668.1917630213918,1792.239531318874,756.5782092328498,621.9549548164521,594.0354830019212,2466.2008531086935,2630.585128517824,2343.9298718058662,1431.0046188932943,762.4383529802069
4574.872805974864,3674.5314713310427,5196.86818879996,3914.6794479558775,4031.4766949122427,3437.145288657993,4021.408363220568,2972.5019421278485,2740.915945065251,2979.8654449144337,2309.741153947971,1630.1442172447482,1704.2715529426782,1667.4356614202593,1107.028279066947,852.3810096799232,1427.760722149596,1013.9627847623749,1180.0048103285144,533.6249862788502,679.4491974558558,2418.361022217626,2107.307936638046,1612.0806815745689,1138.6888582182373
