node0 p05,node1 p05,node2 p05,node3 p05,node4 p05,node5 p05,node6 p05,node7 p05,node8 p05,node9 p05,node10 p05,node11 p05,node12 p05,node13 p05,node14 p05
5023.938515239067,4194.668878764453,2736.7864118120833,2846.716042495548,2531.840157051801,1831.2185178033706,1646.9945221505966,1239.5073482950468,552.6446852178294,1402.6640648635853,672.7350933447384,632.055180721202,202.7193012347745,1708.8046851354352,836.6850920725615
4558.025074636586,2884.0565917726094,2917.840098506862,3099.5676526304132,2254.7848051017886,2392.827925172043,2071.118950005561,918.8812051048084,732.1776377309159,1321.3944571016925,852.6462823014447,319.11042303468906,188.84399228418914,1899.0006610543896,634.1103399347077
4406.31798625327,4466.7095391731955,3724.9581647181717,3705.7548443688697,2155.370329308804,2009.805230490503,1769.1713856915917,1251.3111170362506,856.7193493140334,845.0645412522299,515.038556931702,46.15325300380488,2016.47669925725,1231.0652698540325,549.4694090948327
4447.240744974377,4169.517889310983,3665.995552589821,3315.5503540950376,3234.1668314392505,1507.2557817607214,1394.0546125785065,1114.4689497829033,523.4048501607953,1245.8254277368221,574.2146175648594,182.6927442813257,130.21790651864487,1501.9494193498508,776.3636220524709
4380.084404506273,3650.5836589792366,3011.0943392326403,2530.317012810666,2103.49418121808,1474.6216831286736,1784.5426253475691,1404.8779640715309,892.659874928243,159.04211677725553,564.1508918211501,96.17997186228452,1702.3040365027362,1379.4875223186823,373.1027590654278
4766.294326616919,4949.633798628421,3462.3724703451608,2489.174070680648,2541.3048854594936,1981.6815945366338,1716.173946138538,483.21460203900216,341.21699967036665,259.1431548204869,218.9161619306546,361.51050556123187,1570.1027221361958,1799.3904138868807,210.8381069581232
4373.73541179251,3385.7871537950296,3114.422963416905,1913.5962940608808,1881.825679687563,1443.1671493372892,1258.3597878729258,879.3332033000214,514.925951317254,154.24021697882074,366.4077914076444,185.01426568437722,1825.591060127381,1530.528035628229,546.0489071429259
4306.5090299416015,3412.371564840128,2881.5858243362695,3036.5916818625433,2169.6213295066045,2142.488971980576,2053.550201247299,977.7033221867666,636.1441051313676,331.63192648488786,492.6426353126009,50.323464151195694,145.73599333300308,1667.2256604444526,675.6415873645606
3558.0356297828166,4333.519862125954,2920.7765015967357,2253.716771419895,1848.6634407367453,1694.853343191343,1252.8706834816333,1039.3520351033515,426.1298168637722,68.86031024015665,498.867179263687,71.68499491414667,60.23087390845553,902.7442511185279,587.6686183700295
4654.1162670193935,4717.11821868782,3440.912022318713,3472.005433857961,3719.639965391404,1705.334744217121,1122.824119458501,914.9799240216954,367.13794586860905,737.6492269711737,331.8803183946133,24.545183056824023,33.952592406799624,905.0234770614961,412.5227490401846
4601.862986957175,4305.333564770649,2937.6801878621436,3298.39707616763,2097.581720202749,1319.7248292362558,903.3007785959629,1253.2628006783275,245.10467387884586,421.7388085748039,245.63813079864192,362.95484264332373,129.79210273982528,1664.5034510956907,391.41181329376764
4518.961528383293,2823.858452406829,3230.5908936389014,2762.8966615276704,3265.933909929968,1336.0991304671381,1681.2597434233055,843.9592334542683,419.54242624996886,176.21584330519008,209.66346334325274,161.6398835999267,1163.0031225852792,1233.5187422133392,234.99204006129665
4488.138167428291,4008.2474326331744,2423.3252220618356,2587.309731997513,2213.4187618064025,1716.9200059150116,1292.0084303081012,798.0192468487112,370.0278753965662,281.7819596244133,380.29454298606305,89.67299112397815,2.7863041433232345,1319.4300817928124,774.3894376150633
3757.215409164525,4598.072615868665,3485.0409142554913,2136.466816291381,2522.219126612351,1556.4717830589614,726.8609329534277,1045.6778802667566,168.27674384962577,983.5298725181245,447.54665908722717,433.50280976627147,1230.1390956524508,1462.7258052226662,486.88862628846607
4397.389713020535,3913.937406093253,2651.184999570058,3672.8793490950934,2447.3604625575904,2170.3307915237683,788.08492963869,960.3028453414843,341.9637551238391,69.1235814799226,706.5279314584667,245.09543749991903,206.94823795923955,1281.3840923982664,485.16467086916674
4394.462455137856,3298.9143142021603,3227.3495740933736,2640.858653991857,3059.7395085442486,1221.0972430511013,1497.9068990733413,802.3844924708991,465.0565286059801,62.976580063686285,585.0159505588462,16.575812214940388,297.3701827299002,1043.4100099227219,440.59546969804796
3226.62262632651,3589.0420845129274,2814.9181314071247,3094.683815911373,2201.4120610011964,1738.6234781507337,1135.5811092618394,668.0349914480558,561.6820826020506,894.9712846904321,294.82815800839177,368.40719426595086,1296.798248565544,1149.806187601364,571.6291165764227
3255.6273476064885,3347.0490243317563,3127.4292661879754,2511.857581666558,2672.8640001066306,1954.597697420571,1090.1455847436425,573.2621198102753,557.5537795499978,71.38291986928598,231.01256794886493,39.502979381010604,0.5507129336118451,962.2956760199091,337.5479528357216
4107.87653340054,3885.8164502184604,2419.125584688375,2522.66486828642,1975.0903153427626,1442.705411192619,672.4174878849133,1070.6110319888933,316.17528336334874,544.6101638280916,538.4970026047928,216.4126079410214,1284.2528878554788,1317.1115617250823,717.0457012222139
3703.75870894158,4073.911327275246,2958.489988478275,3656.3022182197237,2749.441046753091,2194.5021008389344,1344.59159452609,830.877100233099,278.9235768417029,42.05873302907352,123.74785335819936,287.5180832612206,1351.2996971776217,738.2181273233257,684.1876046034777
3192.726195943771,3778.907875606094,2655.2867784136088,3076.3725328110086,2843.9973657938062,1119.509484963974,888.2733602090957,1048.880696462994,647.4411221367567,725.6735107047741,396.15200045826504,227.38787124727932,1270.2661230822334,968.3579245859905,228.27809570667108
4286.711234835036,4148.662196454077,3123.9606221401473,2438.767689626484,2059.4115306227213,1806.3238369041076,1510.2284796540036,685.6764793550977,232.4351452277779,682.6262601344912,387.6559497744862,51.859966456464925,1207.4246946189828,1018.2538571066679,792.8217499187681
3679.0292228458734,2875.0516772801234,2993.7285076047165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2894.213051208825,2318.6299899969385,2310.3098454167307,2605.659294032645,1935.3297160758775,1742.3935920978768,763.4427606249955,350.18404962380237,273.9851300209896,758.4452211579381,110.10265859231882,1.4377508025755725,1024.060245916685,687.2150040159145,738.7480767006199
4262.044193585071,3969.8378777528733,3012.555403838088,3212.5688545651897,2688.679838388238,951.77789726944,926.9167866540613,753.9997489971114,420.60107006912216,145.0627138754912,262.5586843105136,2.3393617064471597,1120.9451469651767,960.8431709111746,455.42280828681095
3997.91981591096,3456.2964131607587,2524.60195246684,2556.066060956835,2843.5254726497537,1673.8882977754113,1229.741665093297,273.10121709359095,404.61188924875927,642.578269228755,349.913334815598,49.227748450681325,25.08674663418095,794.1139717927132,71.5108187950284
3558.1049291737586,2949.4001422899946,2861.003550076937,2726.4739762884565,2629.1385185239556,1483.9928614190617,843.4403351542664,627.0912154612082,510.07271131175247,680.1991555029891,41.311225177304244,71.48429511286439,1285.88455698864,1219.7075691385621,174.08249959985176
3911.294577799074,4123.498716553452,2515.2046449273694,1961.9145042026423,1687.2013594281007,1582.757658662166,866.0272209314345,718.795628782137,241.36279317561306,3.314788588373714,283.44738850248046,6.04254304557477,1097.247442318031,1017.164430505827,168.56235936798288
3577.5901611191166,3787.8168499030326,2158.8128392872286,2743.6546257790933,1244.4640496435193,965.6617322304343,546.4478223653048,480.52058276116736,111.43210948234511,43.29788999007481,421.4095690570533,241.28506441049657,3.5203053963920308,1184.1824772295438,99.0030700293905
3713.3158649462093,3313.507885051214,2722.5122286686433,2728.6602854739085,1441.5725179132105,1682.9164756039372,1168.288058341827,292.8315569421785,399.65558656378704,10.250746364859586,315.29425533127767,43.36543428494017,14.0885128444477,845.693630239117,366.4895100827926
3810.044138661577,2202.667093306969,2184.0613302016745,2756.416543621145,1804.8438313876559,1660.7360747670882,971.1778947167913,660.6893831453913,478.87656591818796,35.80707884378485,249.59578796765788,45.5156586006053,1239.5383473960812,917.2349454243684,583.5822920800128
3440.726397233601,3576.3016649183896,2024.0482442919072,1721.5175116076184,1571.4928257262256,833.2246311273493,802.3265193127976,756.0562332143709,114.04455707281393,197.47541207127898,347.4823168768925,184.709640127153,27.604044070553208,964.8403364502761,582.6804905707012
